"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.699853333E0,-3.272195435E-1,2.892734528E0,9.029073944E0
3.709802333E0,-3.671864319E-1,2.659818878E0,9.360035706E0
3.719750333E0,-4.161346436E-1,2.514471130E0,9.572743378E0
3.729699333E0,-4.553530884E-1,2.449955292E0,9.702972565E0
3.739648333E0,-5.111869812E-1,2.406246185E0,9.848020935E0
3.749596333E0,-5.626799011E-1,2.377505951E0,9.990973663E0
3.759545708E0,-5.825885010E-1,2.371668091E0,1.024275009E1
3.769494708E0,-5.996530151E-1,2.384541321E0,1.042267593E1
3.779443708E0,-5.960604858E-1,2.399210815E0,1.029603928E1
3.789391708E0,-5.565426636E-1,2.387834473E0,9.971514130E0
3.799340708E0,-4.528083801E-1,2.418370972E0,9.697134705E0
3.809289708E0,-3.019221497E-1,2.494562531E0,9.588311005E0
3.819238708E0,-8.143066406E-2,2.514471130E0,9.578880615E0
3.829186708E0,1.905537415E-1,2.450853424E0,9.702074432E0
3.839135708E0,4.150868225E-1,2.317480774E0,9.704469452E0
3.849084708E0,5.180726624E-1,2.152972870E0,9.635612640E0
3.859033708E0,5.346881104E-1,2.056872711E0,9.765392761E0
3.868981708E0,4.728666687E-1,2.110461273E0,1.006896149E1
3.878930708E0,4.635859680E-1,2.276765442E0,1.036190231E1
3.888879708E0,6.324348450E-1,2.342029724E0,1.047536636E1
3.898828708E0,8.887019348E-1,2.297721863E0,1.045919998E1
3.908776708E0,1.122066650E0,2.289339294E0,1.042402313E1
3.918725708E0,1.298250275E0,2.450703735E0,1.030382309E1
3.928674708E0,1.519190826E0,2.596350861E0,1.025951523E1
3.938623708E0,1.742676086E0,2.656076660E0,1.034453842E1
3.948571708E0,1.932331696E0,2.627486115E0,1.045650558E1
3.958520708E0,2.204016724E0,2.484234009E0,1.048225204E1
3.968469708E0,2.330503693E0,2.194137268E0,1.068073929E1
3.978418708E0,2.161804504E0,1.719474335E0,1.106244553E1
3.988366708E0,1.869612122E0,1.129700775E0,1.150268005E1
3.998315708E0,1.501377869E0,5.390290833E-1,1.185863983E1
4.008264708E0,1.151255951E0,-3.323089600E-2,1.213451614E1
4.018213708E0,7.646099854E-1,-4.450245667E-1,1.231309479E1
4.028161708E0,3.282673645E-1,-6.262976074E-1,1.228450424E1
4.038110708E0,4.221221924E-2,-5.535488892E-1,1.190025330E1
4.048059708E0,-2.185455322E-2,-2.392025757E-1,1.115495316E1
4.058008708E0,8.592132568E-2,2.719844055E-1,1.024559418E1
4.067956708E0,2.469863892E-1,8.554710388E-1,9.401349792E0
