east_cell,north_cell,east_m,north_m,b_total_uT,b_mean_uT,sample_count,session_count,b_q25_uT,b_q75_uT,b_iqr_uT
35,52,1.328292021,-0.253051907,52.267364633,52.291497538,47,1,52.203699096,52.394521984,0.190822888
35,53,1.320909040,-0.102021027,52.239384748,52.246278335,47,1,52.149875805,52.334137692,0.184261887
35,54,1.311033619,0.043536446,52.210434637,52.193586460,60,1,52.110842496,52.273098567,0.162256072
35,55,1.307641982,0.199989186,52.224651634,52.243137671,85,1,52.131070287,52.338604271,0.207533984
35,56,1.300486357,0.337183617,52.144644289,52.148685298,76,1,52.044822386,52.225325041,0.180502655
35,57,1.292212725,0.492896627,52.121142572,52.154893858,49,1,52.036584453,52.254859949,0.218275496
35,58,1.284348559,0.634735669,51.907973873,51.923513457,46,1,51.829345756,52.011665692,0.182319936
35,59,1.278269297,0.789240816,52.013210986,52.001904044,47,1,51.908364045,52.077357020,0.168992974
35,60,1.268815845,0.986330475,51.964366865,51.722551634,177,1,51.620506665,52.112937722,0.492431056
36,15,1.528220215,-5.752677054,53.711141731,53.719287267,8,1,53.670091910,53.778359057,0.108267147
36,16,1.511105389,-5.661000218,53.572133965,53.552857964,32,1,53.458185628,53.644280512,0.186094884
36,17,1.485911073,-5.503701375,53.578724971,53.579733958,29,1,53.504547378,53.651726708,0.147179330
36,18,1.463542440,-5.361340575,53.530340102,53.536927515,31,1,53.392915130,53.644340795,0.251425665
36,19,1.443142504,-5.207232657,53.373969857,53.380931504,35,1,53.255888808,53.521260164,0.265371355
36,20,1.417884439,-5.049595584,53.432415836,53.406882255,37,1,53.342542046,53.490122665,0.147580619
36,21,1.395123648,-4.905746027,53.383455107,53.378506303,44,1,53.326768213,53.443313399,0.116545186
36,22,1.382975496,-4.826793120,53.297314940,53.317250070,4,1,53.289874203,53.324690807,0.034816604
36,33,1.526122550,-3.072024493,52.268396299,52.295489044,13,1,52.209572638,52.340721699,0.131149062
36,34,1.516975415,-2.951460725,52.293786019,52.286499845,29,1,52.213103851,52.366690112,0.153586260
36,35,1.504228442,-2.803854532,52.153938473,52.120316294,28,1,52.014678080,52.235106242,0.220428162
36,36,1.491174223,-2.656786335,52.352546436,52.345216476,28,1,52.261152129,52.437725455,0.176573326
36,37,1.477503643,-2.508415457,52.188081715,52.213916189,28,1,52.147134807,52.276306559,0.129171752
36,38,1.466911513,-2.360777966,52.142523268,52.149195212,30,1,52.062864743,52.218646605,0.155781863
36,39,1.454350981,-2.207829593,52.426122534,52.427753109,31,1,52.375470055,52.496045833,0.120575777
36,40,1.441905016,-2.067219537,52.472449653,52.482189334,31,1,52.372226870,52.523070262,0.150843392
36,41,1.436059897,-1.919262073,52.373649034,52.373882966,33,1,52.299235160,52.425868412,0.126633251
36,42,1.424062250,-1.760888181,52.377144689,52.365253804,34,1,52.257113060,52.456901464,0.199788404
36,43,1.414051889,-1.605774750,52.330677276,52.361871952,36,1,52.282122137,52.424704567,0.142582430
36,44,1.404200401,-1.455873337,52.347281999,52.346391738,35,1,52.255000187,52.416509356,0.161509168
36,45,1.389712703,-1.312790144,52.421024861,52.445680737,37,1,52.362723115,52.527120564,0.164397449
37,9,1.675717435,-6.652557445,53.753333580,53.767413391,8,1,53.725697934,53.816696664,0.090998731
37,10,1.664505134,-6.568162299,53.609325390,53.584247555,30,1,53.507851246,53.656879637,0.149028391
37,11,1.631395133,-6.420263373,53.603255315,53.625960133,29,1,53.492021939,53.697100827,0.205078888
37,12,1.609974073,-6.261127447,53.573893976,53.596879732,33,1,53.507733705,53.671757790,0.164024085
37,13,1.582072328,-6.107671728,53.373221243,53.376678084,34,1,53.273891677,53.417444535,0.143552857
37,14,1.558630148,-5.957492972,53.362464163,53.399349009,40,1,53.289829627,53.539311896,0.249482269
37,15,1.540286929,-5.828274300,53.436742336,53.422560439,29,1,53.328863585,53.503515188,0.174651603
37,24,1.679045454,-4.451513345,52.254690924,52.241973170,51,1,52.134793507,52.345277093,0.210483586
37,25,1.657247949,-4.300066863,52.229736955,52.227605438,69,1,52.146624446,52.301659151,0.155034705
37,26,1.643118484,-4.168130354,52.219442832,52.230618432,71,1,52.162613661,52.298556961,0.135943299
