"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.566180333E0,1.263372803E0,1.999541931E0,5.971382446E0
2.576124333E0,1.077609100E0,1.912872162E0,5.610782318E0
2.586068333E0,7.970924377E-1,1.818568268E0,5.580096130E0
2.596012333E0,4.640350342E-1,1.736389160E0,5.919141083E0
2.605957333E0,2.151026917E-1,1.640738068E0,6.263425140E0
2.615901333E0,1.390608215E-1,1.607058105E0,6.556815033E0
2.625845333E0,7.903564453E-2,1.558409271E0,6.908433838E0
2.635790333E0,8.277786255E-2,1.520538025E0,7.342381439E0
2.645734333E0,1.387614441E-1,1.594184875E0,7.702831879E0
2.655678333E0,1.501377869E-1,1.675765228E0,7.768844604E0
2.665622333E0,1.131646729E-1,1.800306244E0,7.536827087E0
2.675567333E0,1.508862305E-1,2.010169830E0,7.230863342E0
2.685511333E0,1.670526123E-1,2.195783844E0,6.979236603E0
2.695455333E0,9.056167603E-2,2.276016998E0,6.938221893E0
2.705399333E0,7.020401001E-2,2.437082062E0,7.016209717E0
2.715344333E0,1.621128845E-1,2.586471405E0,7.220684509E0
2.725288333E0,3.121009827E-1,2.723735962E0,7.401508484E0
2.735232333E0,3.478765869E-1,2.827170868E0,7.523504791E0
2.745177333E0,2.415975952E-1,2.941083984E0,7.528444519E0
2.755121333E0,8.158035278E-2,3.070415039E0,7.565717010E0
2.765065333E0,-1.013392639E-1,3.201991425E0,7.698939972E0
2.775009333E0,-2.942880249E-1,3.341651001E0,7.935597839E0
2.784954333E0,-5.679190063E-1,3.406017151E0,8.367599487E0
2.794898333E0,-8.493338013E-1,3.429069214E0,8.898545380E0
2.804842333E0,-1.096469879E0,3.464994507E0,9.370663605E0
2.814787333E0,-1.196911011E0,3.477718048E0,9.725425873E0
2.824731333E0,-1.267564087E0,3.361409912E0,1.020592667E1
2.834675333E0,-1.450483704E0,3.123853912E0,1.063358734E1
2.844619333E0,-1.338366852E0,3.121009827E0,1.101409607E1
2.854564333E0,-1.249451752E0,3.015928345E0,1.133293304E1
2.864508333E0,-1.214424591E0,2.778671722E0,1.151211044E1
2.874452333E0,-1.025816803E0,2.646496582E0,1.165476379E1
2.884397333E0,-6.454577637E-1,2.690505066E0,1.169802383E1
2.894341333E0,-2.174977112E-1,2.788700867E0,1.166344574E1
2.904285333E0,1.793270874E-1,2.938688965E0,1.162722107E1
2.914229333E0,4.604425049E-1,3.056643677E0,1.151734955E1
2.924174333E0,5.318440247E-1,3.126099243E0,1.142963196E1
2.934118333E0,4.167333984E-1,3.144660645E0,1.147483795E1
2.944062333E0,1.800755310E-1,3.141367493E0,1.173649384E1
2.954007333E0,-2.885998535E-1,3.120710449E0,1.230665817E1
2.963951333E0,-9.928852844E-1,2.989882507E0,1.289927582E1
2.973895333E0,-1.526824951E0,2.845283203E0,1.359922028E1
2.983839333E0,-1.857637024E0,2.806364136E0,1.429916473E1
2.993784333E0,-2.049837341E0,2.759062500E0,1.460692474E1
3.003728333E0,-2.239193573E0,2.522105255E0,1.443732742E1
3.013672333E0,-2.631976776E0,1.929188232E0,1.391641068E1
